MovieID,ActorID,CharacterID
1,16,6215
1,4409,9395
1,3734,6564
1,3928,12907
1,851,4774
1,2019,5208
1,3227,1447
1,2075,6143
1,4652,1257
1,1908,10620
1,2304,12231
2,4817,2775
2,2003,6061
2,10,5413
2,1810,10209
2,3670,17347
2,1501,2072
2,4168,15115
2,2315,8208
2,600,4357
2,1862,5468
2,3682,17524
2,2212,17489
3,4331,704
3,4461,1962
3,273,17639
3,4061,11182
3,4954,8624
3,530,13120
3,183,4136
3,361,13122
3,1140,14012
4,2997,13765
4,2222,5239
4,4542,3707
4,1591,17761
4,2542,6148
4,996,8786
4,2443,16278
4,1208,1151
4,1523,7790
4,2683,2514
4,2857,439
5,1826,15323
5,499,3406
5,3623,16333
5,2093,1968
5,2992,17497
5,2763,12709
5,2886,767
5,1507,3753
5,1916,9402
5,2472,159
5,2593,16473
5,936,4435
5,2198,6276
5,718,11929
5,4775,14190
6,452,7658
6,3027,4616
6,3866,2372
6,1343,5840
6,675,9802
6,842,14766
6,4994,8873
6,1878,9334
6,3932,14725
7,1001,9704
7,3033,3025
7,1380,13459
7,3394,6350
8,4202,17883
8,673,3496
8,1365,10356
8,3740,10866
8,4532,9426
8,4956,9625
8,4724,2549
8,3722,11299
8,2394,6640
8,3209,9063
9,2368,9807
9,4986,17508
9,4389,12378
9,1280,1354
9,976,11342
9,1695,16544
9,2907,7428
9,981,7389
9,2447,16759
9,4449,15862
9,4661,10003
9,3537,4515
9,2886,4095
9,2410,6525
10,2585,451
10,4963,8764
10,3432,10173
10,2659,620
10,969,8113
10,2248,13212
10,4344,7380
10,4099,15214
10,3302,16339
10,3098,9522
11,1027,13547
11,1649,4322
11,3027,12448
11,2846,13392
11,2821,11327
11,2555,15144
11,229,6900
11,4544,9892
11,2552,2662
11,1666,10650
11,2115,8470
11,3097,4331
11,1105,12173
11,863,15338
11,2175,2771
11,1347,12475
11,1796,8607
11,1571,9695
11,1999,121
11,1068,779
11,307,4603
11,4757,1941
12,1104,13359
12,1297,6346
12,3015,6100
12,2072,13064
12,4206,9716
13,292,15512
13,4740,13994
13,393,94
13,4458,5993
13,3469,17063
13,1947,12129
13,3110,16112
13,2924,11345
13,934,971
13,2917,13331
13,4799,9600
13,3451,1029
13,2883,8466
13,1577,6798
13,3257,1438
13,4183,8915
13,398,16969
14,2520,5768
14,1328,13468
14,4880,13959
14,1349,16417
14,704,3272
14,1543,11163
14,805,3583
14,364,11073
14,1009,14464
14,3169,898
14,711,16389
14,2019,4935
14,3570,2732
15,1966,2208
15,1747,7922
15,2697,10959
15,1849,10606
16,1065,17214
16,3433,14834
16,4162,4879
16,4579,4489
16,4845,4843
16,4577,5788
16,4247,5787
16,1462,10921
16,1042,10321
16,1772,12088
16,1479,13488
16,2375,3112
16,149,3044
16,1338,16375
16,2671,12794
16,2857,16105
17,4418,14064
17,3706,16079
17,3496,3909
17,3758,11463
17,535,2620
17,4449,7884
18,184,1586
18,4908,13593
18,3109,5777
18,764,9186
18,1842,2519
18,4535,395
18,4348,1335
18,4713,4912
18,4334,7053
19,4104,10066
19,234,14209
19,312,17711
19,3240,12470
19,4932,2100
19,2500,8625
19,3966,8618
19,4396,58
19,4625,6522
19,2881,6675
20,3883,14479
20,2686,6565
20,4579,12919
20,921,4028
20,3248,828
20,4225,9409
20,1033,527
20,1042,15259
20,4221,10459
20,2817,7551
20,2293,3067
20,2978,8846
20,713,14345
20,3934,8926
20,3122,14631
20,1303,6055
20,2388,5099
20,16,15326
20,4157,12499
21,1037,16749
21,1636,13769
21,1907,5116
21,4826,9233
21,1466,7315
21,3167,8151
21,1811,14377
21,563,17184
21,1722,2208
21,2869,7703
21,4545,11861
21,4943,3378
21,4636,5456
22,4377,7386
22,1388,16899
22,1940,26
22,3237,4302
22,2399,16807
22,4894,12301
22,2271,8467
22,3953,10625
22,3552,10516
22,2934,2554
22,895,12595
22,3561,5062
23,1942,8851
23,1398,15739
23,3706,13865
23,1341,7518
23,2794,2223
23,1034,10085
23,4581,5348
23,4804,9381
23,4784,5146
23,709,2780
24,3017,11024
24,3063,4710
24,2944,17284
24,1656,7048
24,3458,504
24,1442,15652
24,3510,704
24,810,14023
24,653,16063
24,240,10811
24,4824,3781
24,2558,3733
24,2473,15123
24,2167,7518
24,1964,14726
24,1554,10739
25,2262,8819
25,4977,2648
25,548,9257
25,3484,1967
25,1280,4397
25,1478,15053
25,906,6054
25,3534,10253
25,4941,16744
25,4636,13547
25,611,12078
25,3640,4928
25,1663,6590
25,1125,2523
25,588,5087
25,667,17625
26,3890,6128
26,739,5896
26,985,14949
26,1018,2678
26,3075,8987
26,2052,15292
26,1240,9144
26,1152,11458
26,1835,3424
26,2441,8945
26,1229,1892
26,2686,12321
27,471,6615
27,1588,13503
27,957,14585
27,4136,6502
27,2661,4647
27,4760,4381
27,4794,7746
27,2517,15424
27,1499,3901
27,74,265
27,3561,2978
28,1774,4363
28,2863,11
28,3951,15232
28,4026,13162
28,3135,4013
28,4554,9099
28,4692,567
28,1681,8366
28,2985,13498
28,1465,9998
28,834,5120
28,2099,2088
28,2377,1857
28,3686,9951
29,2296,13525
29,4343,11611
29,4947,1483
29,1436,8612
29,419,8092
29,2375,6011
29,4745,17587
29,114,16185
29,2874,4481
29,3848,17325
29,4625,2114
30,3902,16441
30,4373,4027
30,3977,15253
30,855,15774
30,1659,10019
30,3329,8496
30,1,13332
30,1748,11394
30,2894,12989
31,1683,13968
31,3775,13539
31,2344,10957
31,4239,13989
31,3742,11040
31,3144,17691
31,973,17720
31,4974,7223
31,2191,11293
31,517,2812
31,4498,13540
31,4264,3797
31,3806,10475
31,4831,8283
32,2308,4391
32,3535,7257
32,1106,1586
32,4154,11848
32,772,1823
32,2002,7222
32,3920,2567
32,2547,3886
32,2585,149
32,1701,13795
32,3157,8399
33,3927,11635
33,1513,9491
33,3268,7190
33,1940,14566
33,3500,3225
33,1604,3074
34,4226,2897
34,1961,14093
34,2658,9181
34,4706,654
34,4984,2533
34,2252,10032
34,3064,2149
34,2416,8203
34,2679,5092
34,4780,12719
35,839,10204
35,1927,7107
35,2471,5863
35,954,1488
35,2261,14385
35,1133,9495
35,1742,5681
35,4260,2143
35,3730,3843
36,4887,4946
36,4474,882
36,2053,6663
36,3322,2372
36,3708,4331
36,1743,8775
36,3447,15096
36,3423,11563
36,1751,7362
36,2284,14385
36,4975,10103
36,680,4617
36,3686,11303
